,Регион,Год,V_сточ_вод_млн_м3,ВРП_на_душу_руб,Индексы_производства_продукции_СХ_%,Доля_городского_населения_%,Использование_свеж_воды_млн_м3,Индекс_промыш_производства_%,Коэф_смерт_насел,Числ_насел,Оборот_вод_млн_м3
0,Алтайский край,2000,31.0,17660.5,122.0,52.8,569.0,109.2,14.3,2641.1,1216.0
1,Алтайский край,2001,34.0,23509.0,104.5,53.1,599.0,109.4,14.7,2621.1,998.0
2,Алтайский край,2002,36.0,27991.2,103.1,53.2,563.0,100.1,15.7,2602.6,983.0
3,Алтайский край,2003,36.0,34295.8,100.8,53.5,516.0,105.5,15.9,2572.0,984.0
4,Алтайский край,2004,36.0,44934.9,99.5,53.7,488.0,102.6,15.9,2539.4,969.0
5,Алтайский край,2005,34.0,53812.4,91.1,54.0,451.0,96.8,16.9,2503.5,964.0
6,Алтайский край,2006,27.0,69852.0,109.4,54.2,455.0,110.3,15.5,2473.0,985.0
7,Алтайский край,2007,26.0,90759.9,108.6,54.3,471.0,113.5,15.2,2453.5,1001.0
8,Алтайский край,2008,22.0,106019.5,93.2,54.5,481.0,103.3,15.3,2438.9,1020.0
9,Алтайский край,2009,17.0,109088.7,118.3,54.3,461.0,92.0,14.7,2430.7,998.0
10,Алтайский край,2010,15.0,124955.8,93.5,54.8,340.0,122.0,15,2417.3,859.0
11,Алтайский край,2011,12.0,137975.9,101.2,55.2,408.0,104.5,14.6,2396.8,860.0
12,Алтайский край,2012,8.04,154560.6,86.4,55.6,406.93,104.4,14.7,2378.0,860.02
13,Алтайский край,2013,8.07,175666.0,121.9,55.9,404.84,101.3,14.3,2359.5,770.38
14,Алтайский край,2014,10.73,189679.2,85.8,56.2,410.61,98.9,14.4,2343.4,827.47
15,Алтайский край,2015,16.24,209023.2,106.5,56.5,386.73,100.1,14.4,2325.0,908.24
16,Алтайский край,2016,18.05,230047.1,112.0,56.7,376.43,102.5,14.4,2303.6,868.36
17,Алтайский край,2017,17.34,238056.6,101.8,56.9,364.05,103.7,14.4,2277.7,814.78
18,Алтайский край,2018,17.33,256081.7,103.3,57.2,349.42,100.8,14.7,2250.1,816.65
19,Алтайский край,2019,32.27,280785.0,98.8,57.6,344.55,101.9,14.6,2224.1,812.84
20,Алтайский край,2020,13.18,300706.5,96.7,57.9,353.27,101.1,17.2,2193.0,771.76
21,Алтайский край,2021,13.51,400038.7,118.4,58.2,362.59,101.7,20.1,2155.0,796.11
22,Алтайский край,2022,13.3,440933.3,104.1,58.3,374.84,103.2,15.8,2130.9,831.42
23,Алтайский край,2023,13.0,482474.4,93.1,58.5,425.0,107.1,14.4,2115.3,817.0
24,Амурская область,2000,94.0,28317.2,106.2,66.6,115.0,105.4,14.6,923.0,914.0
25,Амурская область,2001,103.0,42578.3,106.7,65.9,116.0,92.2,15.2,911.4,865.0
26,Амурская область,2002,95.0,50449.6,109.9,65.9,114.0,105.3,16.1,901.0,875.0
27,Амурская область,2003,91.0,59480.3,70.4,66.2,109.0,105.8,16.6,887.8,832.0
28,Амурская область,2004,99.0,72937.0,112.7,66.5,107.0,100.2,17.4,874.0,848.0
29,Амурская область,2005,100.0,88597.1,93.1,66.4,104.0,95.7,17.2,861.0,819.0
30,Амурская область,2006,90.0,111116.2,113.0,66.6,100.0,104.7,15.9,850.5,770.0
31,Амурская область,2007,84.0,131887.8,117.8,66.6,98.0,102.6,14.7,844.3,774.0
32,Амурская область,2008,86.0,156329.6,104.9,66.6,93.0,111.4,15.6,838.9,759.0
33,Амурская область,2009,83.0,180572.3,109.4,66.5,86.0,111.4,15.1,834.9,709.0
34,Амурская область,2010,82.0,214827.2,102.8,66.9,87.0,104.3,15.3,828.7,719.0
35,Амурская область,2011,79.0,273332.2,121.0,67.0,83.0,120.0,14.8,820.6,755.0
36,Амурская область,2012,78.02,280484.7,92.2,67.2,80.58,108.6,14.8,815.2,751.85
37,Амурская область,2013,76.97,259501.7,70.9,67.3,79.17,106.9,13.9,808.7,784.84
38,Амурская область,2014,44.62,287327.6,168.9,67.5,74.9,98.3,13.9,806.5,811.51
39,Амурская область,2015,72.77,344986.8,101.0,67.5,73.77,92.5,13.9,801.5,810.9
40,Амурская область,2016,73.77,372300.0,97.9,67.5,70.67,92.1,13.8,796.8,817.64
41,Амурская область,2017,67.38,376452.8,114.9,67.5,72.06,105.3,13.4,792.7,945.89
42,Амурская область,2018,66.82,423176.6,92.1,67.7,70.97,97.6,13.5,786.6,1033.0
43,Амурская область,2019,65.05,504185.5,87.9,67.9,71.87,109.9,14.2,782.7,1776.71
44,Амурская область,2020,65.81,577387.2,104.0,68.0,102.52,95.7,16.3,773.7,1796.88
45,Амурская область,2021,66.51,713306.9,111.2,68.2,107.45,108.9,18.7,763.6,1687.05
46,Амурская область,2022,62.76,794644.1,123.5,68.4,106.35,102.8,14.8,756.2,2618.91
47,Амурская область,2023,60.0,1054056.2,94.2,68.5,115.0,97.2,14.1,750.1,1327.0
48,Архангельская область,2000,540.0,,,75.3,832.0,,16.3,1369.1,629.0
49,Архангельская область,2001,537.0,,,75.6,828.0,,16.2,1350.5,682.0
50,Архангельская область,2002,513.0,,,75.3,755.0,,17.5,1332.7,731.0
51,Архангельская область,2003,477.0,,,75.0,713.0,,18,1315.5,686.0
52,Архангельская область,2004,454.0,,,75.5,681.0,,17.6,1299.2,824.0
53,Архангельская область,2005,464.0,,,74.0,673.0,,17.1,1281.8,841.0
54,Архангельская область,2006,464.0,,,74.4,670.0,,15.9,1266.7,861.0
55,Архангельская область,2007,475.0,,90.3,74.8,682.0,110.1,14.9,1257.2,855.0
56,Архангельская область,2008,475.0,,94.2,75.1,654.0,102.2,14.8,1246.2,875.0
57,Архангельская область,2009,413.0,,105.6,75.5,609.0,95.5,14.5,1237.5,753.0
58,Архангельская область,2010,415.0,,95.6,76.0,633.0,122.0,14.6,1224.9,809.0
59,Архангельская область,2011,375.0,233445.8,109.0,76.3,639.0,96.5,13.9,1204.1,813.0
60,Архангельская область,2012,364.27,273874.6,100.3,76.4,622.0,103.7,13.8,1183.6,848.04
61,Архангельская область,2013,341.03000000000003,288957.6,90.8,76.6,600.75,110.0,13.6,1163.7,836.92
62,Архангельская область,2014,335.86,319673.0,101.4,76.8,597.62,73.1,13.6,1146.1,854.29
63,Архангельская область,2015,329.79,365908.3,83.8,77.1,569.68,101.9,14.0,1127.8,841.49
64,Архангельская область,2016,328.66,419090.3,99.2,77.2,562.25,100.6,14.1,1110.6,842.13
65,Архангельская область,2017,325.0,466062.8,83.9,77.2,556.84,116.3,13.7,1091.1,909.69
66,Архангельская область,2018,322.78,524584.0,109.3,77.4,551.61,100.9,13.9,1071.6,912.11
67,Архангельская область,2019,322.87,546989.7,96.3,77.4,536.2199999999999,102.1,13.9,1055.5,866.23
68,Архангельская область,2020,320.63000000000005,548518.4,101.9,77.5,542.9000000000001,99.1,15.9,1037.3,936.42
69,Архангельская область,2021,292.68,681214.5,97.9,77.6,531.9,100.9,19.3,1016.0,935.15
70,Архангельская область,2022,277.51,722234.1,98.9,77.8,494.98,95.5,15.5,1005.7,915.11
71,Архангельская область,2023,247.0,793259.7,101.5,78.1,500.0,98.8,14.1,998.1,817.0
72,Астраханская область,2000,84.0,27815.3,108.2,67.9,1322.0,90.2,14.3,1009.3,292.0
73,Астраханская область,2001,83.0,32037.2,107.2,67.6,1252.0,117.4,14.6,1005.5,289.0
74,Астраханская область,2002,78.0,40786.8,103.6,67.7,1111.0,100.6,15.3,1004.8,314.0
75,Астраханская область,2003,71.0,50386.3,102.5,67.9,1190.0,103.5,15.5,1006.1,313.0
76,Астраханская область,2004,71.0,56357.5,104.9,67.5,971.0,101.2,14.9,1006.5,308.0
77,Астраханская область,2005,68.0,69814.0,109.1,67.7,937.0,100.8,15.4,1002.5,295.0
78,Астраханская область,2006,73.0,84950.0,108.2,66.9,938.0,100.9,14.6,1001.3,267.0
79,Астраханская область,2007,72.0,99999.4,108.5,67.7,891.0,111.6,14,1005.9,264.0
80,Астраханская область,2008,73.0,146391.0,115.2,66.6,873.0,110.3,13.5,1009.9,265.0
81,Астраханская область,2009,71.0,133018.5,118.5,66.7,853.0,93.4,13.3,1011.1,271.0
82,Астраханская область,2010,69.0,143388.8,102.4,66.7,772.0,113.0,13.5,1009.8,261.0
83,Астраханская область,2011,71.0,170798.2,110.5,66.5,1085.0,107.5,13,1011.5,243.0
84,Астраханская область,2012,55.67,207683.9,106.1,66.3,849.63,118.7,12.7,1007.5,71.89
85,Астраханская область,2013,52.4,271899.3,100.7,66.2,799.55,115.5,12.3,1007.4,229.23
86,Астраханская область,2014,50.15,293883.9,100.3,65.8,756.6,102.9,12.8,1009.2,245.63
87,Астраханская область,2015,40.74,320199.0,102.3,65.6,730.88,109.6,12.5,1003.9,512.78
88,Астраханская область,2016,51.16,367483.2,101.0,65.4,793.75,108.6,12.2,1001.5,492.67
89,Астраханская область,2017,48.54,442846.1,109.4,65.4,693.21,152.6,11.6,997.4,492.38
90,Астраханская область,2018,49.09,582565.6,108.7,65.3,695.94,116.3,11.8,991.1,492.2
91,Астраханская область,2019,36.39,610661.5,101.8,65.1,646.04,103.7,11.6,979.9,358.5
92,Астраханская область,2020,30.26,541099.0,102.3,64.7,619.95,97.3,14.0,969.0,387.87
93,Астраханская область,2021,34.13,688988.3,101.7,64.3,576.13,93.9,16.9,957.8,471.42
94,Астраханская область,2022,35.11,801999.8,106.6,64.1,672.86,100.0,12.7,950.6,503.19
95,Астраханская область,2023,85.0,819951.6,103.0,63.9,561.0,100.6,11.8,946.4,1860.0
96,Белгородская область,2000,45.0,27969.5,120.3,65.2,354.0,109.1,15.5,1507.0,1559.0
97,Белгородская область,2001,13.0,33126.7,107.7,65.2,346.0,110.1,16.1,1508.1,1575.0
98,Белгородская область,2002,6.0,41327.4,101.7,65.2,368.0,116.0,16.2,1511.9,1589.0
99,Белгородская область,2003,10.0,50271.4,100.1,65.4,394.0,106.2,16.1,1513.9,1606.0
100,Белгородская область,2004,11.0,75629.4,107.1,65.4,361.0,106.3,16.2,1511.7,1610.0
101,Белгородская область,2005,11.0,95911.2,114.8,65.6,314.0,112.9,16,1511.7,1618.0
102,Белгородская область,2006,11.0,118211.4,113.0,65.8,290.0,113.4,15.3,1514.2,1626.0
103,Белгородская область,2007,8.0,156225.1,122.4,66.0,257.0,111.3,14.8,1520.1,1675.0
104,Белгородская область,2008,11.0,208548.1,127.5,65.8,253.0,112.7,14.7,1526.3,1533.0
105,Белгородская область,2009,49.0,199046.1,108.5,65.9,234.0,103.5,14.4,1531.8,1421.0
106,Белгородская область,2010,77.0,260015.6,98.4,66.2,237.0,113.9,14.4,1532.4,1596.0
107,Белгородская область,2011,72.0,330952.8,132.0,66.2,236.0,108.7,14.1,1536.6,1691.0
108,Белгородская область,2012,70.88,354400.6,105.5,66.2,244.04,105.6,14,1541.9,1630.71
109,Белгородская область,2013,71.1,368593.1,108.0,66.1,240.98,102.1,13.8,1545.5,1654.6
110,Белгородская область,2014,66.83,400396.8,104.9,66.0,238.93,102.5,14.0,1549.8,1655.7
111,Белгородская область,2015,61.46,447022.6,104.1,65.9,243.66,105.5,13.9,1552.4,1627.91
112,Белгородская область,2016,73.64,500672.6,106.6,65.9,250.06,106.2,13.9,1555.5,1889.67
113,Белгородская область,2017,70.54,538729.8,99.5,65.8,233.24,105.0,13.5,1553.0,1918.32
114,Белгородская область,2018,70.46,587403.9,104.7,65.7,234.32,102.4,13.5,1550.9,1851.84
115,Белгородская область,2019,68.84,615578.9,102.5,65.5,233.65,103.9,13.3,1553.0,1775.85
116,Белгородская область,2020,65.9,643774.4,99.8,65.4,238.45,101.7,15.5,1545.5,1814.76
117,Белгородская область,2021,60.56,882551.8,97.3,65.3,229.03,104.4,18.2,1536.5,1847.16
118,Белгородская область,2022,58.6,859545.1,104.5,65.4,232.1,102.1,14.2,1514.5,1749.36
119,Белгородская область,2023,58.0,889768.6,105.0,65.3,224.0,104.7,13.4,1500.7,1575.0
120,Брянская область,2000,100.0,17413.5,109.3,68.6,150.0,117.3,18.2,1407.9,102.0
121,Брянская область,2001,99.0,21511.9,94.8,68.8,147.0,112.9,17.9,1391.4,95.0
122,Брянская область,2002,96.0,27020.0,98.1,68.5,144.0,105.3,19.2,1375.0,91.0
123,Брянская область,2003,94.0,31953.4,103.5,68.5,135.0,104.5,19.1,1360.2,106.0
124,Брянская область,2004,92.0,37719.1,96.2,68.2,133.0,104.7,19.1,1344.1,63.0
125,Брянская область,2005,89.0,49923.4,95.6,68.3,130.0,116.1,19.8,1327.7,60.0
126,Брянская область,2006,96.0,62187.8,100.0,68.6,126.0,111.7,18.7,1312.7,116.0
127,Брянская область,2007,94.0,78518.8,106.0,68.8,123.0,121.8,17.9,1303.3,117.0
128,Брянская область,2008,85.0,96885.4,107.9,68.9,115.0,103.2,17.8,1294.3,113.0
129,Брянская область,2009,83.0,98014.5,103.4,69.0,110.0,76.6,17,1286.5,61.0
130,Брянская область,2010,78.0,114777.6,94.2,69.1,117.0,122.9,17,1275.3,79.0
131,Брянская область,2011,75.0,137227.5,124.6,69.2,111.0,110.6,16.1,1263.7,102.0
132,Брянская область,2012,70.83,164867.2,105.6,69.3,105.51,115.7,16.2,1252.2,57.19
133,Брянская область,2013,67.78,176108.0,112.2,69.4,103.68,96.8,15.9,1240.6,38.55
134,Брянская область,2014,61.56,196473.1,114.9,69.5,97.82,102.1,16.1,1230.3,35.07
135,Брянская область,2015,57.6,221557.6,113.1,69.5,96.29,113.5,15.9,1223.1,29.96
136,Брянская область,2016,57.92,259301.1,108.9,69.6,95.13,107.3,15.6,1218.0,28.5
137,Брянская область,2017,55.12,281250.4,106.0,69.7,93.95,104.1,15.3,1208.2,27.48
138,Брянская область,2018,53.78,305284.8,103.1,69.7,90.02,102.7,15.2,1197.1,28.5
139,Брянская область,2019,50.75,334495.9,100.4,69.6,89.58,117.0,14.8,1189.2,27.75
140,Брянская область,2020,49.69,349774.4,103.0,69.5,86.92,102.0,17.0,1179.1,24.79
141,Брянская область,2021,51.4,411888.4,100.9,69.5,88.41,112.2,20.3,1164.6,22.59
142,Брянская область,2022,52.06,474159.6,110.7,69.6,88.72,120.8,15.6,1152.5,20.2
143,Брянская область,2023,53.0,546442.6,115.9,69.7,93.0,115.8,14.3,1142.4,20.0
144,Владимирская область,2000,182.0,21073.3,108.0,79.8,222.0,119.47,19.1,1558.0,412.0
145,Владимирская область,2001,182.0,27170.0,87.4,79.7,211.0,114.7,19.7,1539.2,423.0
146,Владимирская область,2002,185.0,32923.6,105.8,79.7,221.0,99.42,20.8,1520.1,343.0
147,Владимирская область,2003,174.0,40809.4,98.7,79.4,205.0,106.15,20.7,1509.6,324.0
148,Владимирская область,2004,169.0,49353.4,89.0,78.3,197.0,112.0,20.1,1497.6,339.0
149,Владимирская область,2005,155.0,58261.0,108.8,77.2,189.0,101.4,20.2,1486.5,338.0
150,Владимирская область,2006,147.0,76184.8,99.9,77.3,182.0,109.8,19.1,1475.9,330.0
151,Владимирская область,2007,141.0,99682.5,101.7,77.4,180.0,122.6,18.5,1466.8,337.0
152,Владимирская область,2008,140.0,119941.8,93.7,77.5,171.0,112.3,18.5,1457.9,316.0
153,Владимирская область,2009,129.0,127815.1,106.9,77.5,165.0,84.4,18.2,1449.8,318.0
154,Владимирская область,2010,129.0,155494.2,77.4,77.7,156.0,114.7,18,1441.1,248.0
155,Владимирская область,2011,126.0,181742.0,123.6,77.6,161.0,107.4,17.1,1433.6,314.0
156,Владимирская область,2012,123.74,200118.5,106.8,77.6,152.71,103.4,16.7,1425.0,312.27
157,Владимирская область,2013,120.02,215705.7,92.0,77.5,145.46,108.0,16.6,1418.2,247.96
158,Владимирская область,2014,110.49,231824.2,103.8,77.6,142.76,109.2,16.5,1412.1,247.5
159,Владимирская область,2015,108.55,261560.4,102.4,77.7,133.55,99.8,16.4,1405.5,258.46
160,Владимирская область,2016,108.81,307666.2,97.3,77.8,129.89,104.6,16.4,1399.8,250.89
161,Владимирская область,2017,104.52,322473.5,93.7,77.8,122.63,103.1,15.6,1390.2,233.82
162,Владимирская область,2018,98.55,346635.8,101.1,77.9,122.29,104.6,15.9,1379.4,259.43
163,Владимирская область,2019,94.42,389002.2,102.6,77.8,117.48,113.0,15.4,1373.7,254.16
164,Владимирская область,2020,95.02,404785.5,102.8,77.7,117.7,111.2,18.1,1359.0,233.38
165,Владимирская область,2021,94.26,540728.4,97.0,77.6,119.58,108.6,21.2,1342.3,295.29
166,Владимирская область,2022,91.32,585131.4,102.3,77.6,119.52,106.6,16.8,1325.5,328.86
167,Владимирская область,2023,90.0,677998.5,105.7,77.6,133.0,109.4,15.5,1309.9,321.0
168,Волгоградская область,2000,217.0,23340.8,109.5,74.9,1103.0,108.1,15.2,2725.4,1774.0
169,Волгоградская область,2001,212.0,30513.2,117.9,75.1,990.0,102.0,15.6,2709.6,1799.0
170,Волгоградская область,2002,206.0,38617.7,101.6,75.2,960.0,101.2,15.9,2694.2,1706.0
171,Волгоградская область,2003,201.0,47934.1,100.4,75.2,886.0,101.3,16.1,2672.4,1768.0
172,Волгоградская область,2004,208.0,57928.0,112.9,75.3,887.0,106.0,15.4,2656.2,1760.0
173,Волгоградская область,2005,204.0,76740.6,100.3,75.4,833.0,104.1,15.7,2640.4,1866.0
174,Волгоградская область,2006,217.0,95683.4,101.4,75.4,804.0,102.8,15.2,2630.0,1806.0
175,Волгоградская область,2007,203.0,126313.1,97.7,75.7,827.0,102.4,14.6,2623.1,1760.0
176,Волгоградская область,2008,218.0,159001.5,126.5,75.6,823.0,99.9,14.4,2618.1,1716.0
177,Волгоградская область,2009,200.0,144303.4,89.0,75.7,788.0,90.3,14.4,2614.1,1567.0
178,Волгоградская область,2010,186.0,166028.8,84.9,76.0,731.0,106.1,14.7,2607.5,1503.0
179,Волгоградская область,2011,150.0,195321.7,127.5,76.1,710.0,103.0,13.8,2598.6,1600.0
180,Волгоградская область,2012,144.43,220267.5,88.8,76.2,608.93,104.8,13.6,2590.7,1564.44
181,Волгоградская область,2013,141.2,234934.7,108.9,76.4,583.42,101.5,13.4,2580.7,1417.86
182,Волгоградская область,2014,122.62,277632.9,107.1,76.5,582.57,102.4,13.6,2572.9,1433.46
183,Волгоградская область,2015,104.21,288213.6,94.5,76.6,593.77,101.1,13.7,2565.4,1376.66
184,Волгоградская область,2016,104.7,322250.5,114.5,76.7,520.41,103.2,13.6,2558.5,1340.13
185,Волгоградская область,2017,89.2,332977.4,102.4,76.9,525.9,104.3,13.0,2548.5,1286.81
186,Волгоградская область,2018,84.29,364763.9,96.3,77.0,552.23,100.9,13.2,2538.7,1347.17
187,Волгоградская область,2019,85.25,380349.9,108.0,77.2,530.43,100.0,12.9,2526.2,1341.67
188,Волгоградская область,2020,91.69,387991.0,101.3,77.3,566.76,99.3,15.6,2513.6,1334.15
189,Волгоградская область,2021,89.21,426400.1,97.5,77.5,564.37,98.4,18.6,2492.8,1302.08
190,Волгоградская область,2022,85.92,491186.6,116.9,77.6,578.17,102.8,13.7,2470.1,1308.96
191,Волгоградская область,2023,203.0,562548.1,100.1,77.7,2395.0,102.5,12.8,2453.9,6122.0
192,Вологодская область,2000,241.0,53432.8,101.6,68.8,711.0,107.71,16,1290.4,3655.0
193,Вологодская область,2001,240.0,50934.4,102.3,68.9,642.0,96.88,17.4,1278.5,3610.0
194,Вологодская область,2002,231.0,63433.6,95.3,69.1,655.0,105.64,18.4,1266.9,3619.0
195,Вологодская область,2003,205.0,85259.1,95.5,69.3,579.0,103.81,19.8,1255.9,3584.0
196,Вологодская область,2004,195.0,129015.6,90.5,68.3,636.0,106.5,19.1,1245.8,3650.0
197,Вологодская область,2005,172.0,156379.7,100.3,68.6,630.0,106.5,18.8,1234.9,3614.0
198,Вологодская область,2006,167.0,164130.2,95.1,69.0,710.0,107.1,17.1,1225.8,3641.0
199,Вологодская область,2007,156.0,199003.0,99.0,69.4,728.0,104.9,16,1219.8,3721.0
200,Вологодская область,2008,146.0,242347.7,98.5,69.7,712.0,95.3,16.4,1214.2,3655.0
201,Вологодская область,2009,132.0,176179.2,97.2,70.0,583.0,90.5,16.3,1208.3,3433.0
202,Вологодская область,2010,152.0,217826.8,89.6,70.8,602.0,111.8,16.7,1201.2,3536.0
203,Вологодская область,2011,157.0,269271.0,110.7,71.1,537.0,105.6,15.7,1198.4,3616.0
204,Вологодская область,2012,154.42,296779.7,94.5,71.3,467.32,101.3,15.1,1196.0,3657.81
205,Вологодская область,2013,147.9,289860.7,93.3,71.5,481.46,102.5,15,1193.0,3671.5
206,Вологодская область,2014,137.38,324906.9,97.9,71.8,481.47,103.7,14.8,1190.5,3686.92
207,Вологодская область,2015,145.08,402818.7,103.7,72.0,392.67,102.6,14.8,1187.2,3838.84
208,Вологодская область,2016,147.1,430233.8,106.2,72.1,354.86,99.8,15.0,1183.3,3956.21
209,Вологодская область,2017,157.41,460014.4,88.9,72.2,226.55,102.4,14.4,1176.0,3885.1
210,Вологодская область,2018,128.84,525527.1,104.5,72.4,251.84,104.6,14.4,1166.9,3944.02
211,Вологодская область,2019,78.45,543954.1,109.4,72.4,247.76,103.9,14.1,1159.6,4021.01
212,Вологодская область,2020,67.44,540722.5,100.1,72.4,217.64,102.3,15.7,1150.1,4808.79
213,Вологодская область,2021,67.31,897094.3,100.1,72.5,212.52,101.0,18.4,1138.4,4295.9
214,Вологодская область,2022,64.71,903488.3,104.4,72.5,213.59,96.6,14.5,1128.7,4457.82
215,Вологодская область,2023,60.0,961567.4,101.7,72.7,219.0,106.2,13.8,1121.4,4688.0
216,Воронежская область,2000,190.0,20365.1,129.0,61.6,695.0,105.4,17.9,2422.4,2849.0
217,Воронежская область,2001,174.0,24905.4,102.0,61.8,686.0,101.1,18.3,2397.1,2863.0
218,Воронежская область,2002,174.0,34789.6,101.3,62.0,651.0,98.7,18.9,2374.4,2943.0
219,Воронежская область,2003,173.0,42237.5,117.5,62.0,617.0,106.3,18.9,2367.4,3034.0
220,Воронежская область,2004,168.0,49530.0,94.0,62.0,582.0,106.9,18.5,2364.9,2419.0
221,Воронежская область,2005,169.0,56534.5,100.7,61.8,556.0,111.0,18.5,2360.9,2524.0
222,Воронежская область,2006,159.0,70492.7,103.1,61.7,535.0,109.0,17.7,2353.8,3618.0
223,Воронежская область,2007,152.0,94849.5,107.0,61.7,519.0,104.9,17.3,2344.4,3292.0
224,Воронежская область,2008,144.0,122591.1,125.9,62.0,498.0,103.6,17.2,2339.0,3508.0
225,Воронежская область,2009,134.0,129112.5,99.5,62.1,457.0,99.4,16.5,2334.9,3288.0
226,Воронежская область,2010,134.0,148432.6,72.7,65.5,460.0,106.6,17,2334.8,3060.0
227,Воронежская область,2011,135.0,203523.7,163.7,66.0,451.0,110.1,15.9,2332.7,2799.0
228,Воронежская область,2012,131.08,241754.0,104.2,66.4,442.21,129.7,15.6,2332.9,3459.11
229,Воронежская область,2013,128.63,262215.8,109.9,66.8,378.49,106.1,15.5,2332.9,3464.39
230,Воронежская область,2014,121.91,307400.6,101.9,67.1,390.26,108.0,15.6,2336.4,3317.57
231,Воронежская область,2015,117.13,344688.2,99.3,67.3,393.22,103.7,15.3,2340.1,3259.38
232,Воронежская область,2016,121.62,353549.7,104.6,67.5,398.01,104.4,15.2,2343.4,4301.93
233,Воронежская область,2017,119.2,372738.0,102.8,67.8,378.78,106.0,14.6,2343.1,3943.48
234,Воронежская область,2018,118.82,406385.7,101.8,68.1,372.14,103.2,14.6,2338.6,3521.13
235,Воронежская область,2019,119.24,428581.3,107.1,68.3,404.6,111.3,14.1,2336.3,4422.56
236,Воронежская область,2020,118.23,456565.5,99.0,68.3,399.65,109.5,16.4,2319.1,5178.0
237,Воронежская область,2021,117.21,551241.7,97.3,68.5,386.5,105.5,20.2,2302.6,5003.91
238,Воронежская область,2022,121.46,600596.0,112.8,68.5,399.08,98.0,15.3,2285.3,4982.51
239,Воронежская область,2023,131.0,655626.6,103.3,68.5,414.0,109.9,14.3,2273.4,5029.0
240,Еврейская автономная область,2000,11.0,19484.8,107.0,67.0,20.0,114.18,14.5,193.2,23.0
241,Еврейская автономная область,2001,12.0,24877.5,108.6,67.2,21.0,117.5,14.7,191.9,11.0
242,Еврейская автономная область,2002,12.0,35766.0,100.6,67.2,21.0,109.7,15.9,190.6,16.0
243,Еврейская автономная область,2003,12.0,45196.1,105.4,67.6,20.0,108.6,16.1,188.4,15.0
244,Еврейская автономная область,2004,14.0,60029.9,107.6,67.2,20.0,101.0,17.2,185.8,13.0
245,Еврейская автономная область,2005,14.0,77319.2,106.3,67.2,21.0,103.0,18.3,181.7,13.0
246,Еврейская автономная область,2006,14.0,99578.4,101.8,67.2,20.0,104.2,16.5,179.4,10.0
247,Еврейская автономная область,2007,14.0,132505.0,102.3,67.3,20.0,122.7,15.6,178.7,9.0
248,Еврейская автономная область,2008,13.0,134377.5,101.8,67.4,24.0,118.6,15.9,178.1,9.0
249,Еврейская автономная область,2009,14.0,142388.0,90.2,67.3,25.0,81.2,15.4,177.5,7.0
250,Еврейская автономная область,2010,15.0,178380.6,107.4,67.8,25.0,102.5,15.5,176.3,6.0
251,Еврейская автономная область,2011,16.0,225382.9,101.3,68.4,26.0,100.1,15.5,173.9,4.7
252,Еврейская автономная область,2012,14.65,247338.9,88.2,68.4,23.21,104.1,15.3,171.7,6.25
253,Еврейская автономная область,2013,14.0,225611.9,64.6,68.7,21.36,102.6,14.7,169.0,5.33
254,Еврейская автономная область,2014,12.89,250145.1,129.5,69.3,21.79,113.3,15.1,166.4,5.55
255,Еврейская автономная область,2015,13.58,269785.3,100.2,69.8,18.36,91.3,15.6,163.9,7.87
256,Еврейская автономная область,2016,13.53,298404.2,78.1,70.1,18.78,90.2,15.4,161.6,9.59
257,Еврейская автономная область,2017,13.54,344645.5,116.1,70.5,14.77,160.4,13.5,159.1,13.33
258,Еврейская автономная область,2018,10.72,345698.0,105.0,70.8,14.54,114.9,13.9,156.7,13.49
259,Еврейская автономная область,2019,12.57,365145.1,54.6,70.8,13.46,102.6,14.5,154.7,18.47
260,Еврейская автономная область,2020,11.74,411199.2,119.2,70.7,13.35,102.4,16.3,152.6,20.36
261,Еврейская автономная область,2021,12.4,523964.8,101.2,70.8,14.68,96.9,18.5,149.6,19.2
262,Еврейская автономная область,2022,11.94,543204.8,117.4,70.8,16.13,107.0,15.2,147.5,20.27
263,Еврейская автономная область,2023,12.0,697096.5,114.1,70.8,19.0,94.3,14.3,145.8,20.0
264,Забайкальский край,2000,80.0,25320.1,89.2,63.6,570.0,101.5,14.5,1178.8,527.0
265,Забайкальский край,2001,94.0,29979.7,90.3,63.8,519.0,107.3,15.3,1165.4,1099.0
266,Забайкальский край,2002,77.0,38443.3,108.8,63.9,471.0,102.1,16.2,1152.6,1063.0
267,Забайкальский край,2003,75.0,46308.5,94.9,64.0,479.0,109.4,16.8,1142.7,578.0
268,Забайкальский край,2004,84.0,53845.5,95.4,64.0,379.0,92.7,17.1,1132.8,584.0
269,Забайкальский край,2005,83.0,61741.0,107.3,64.2,406.0,104.0,17.3,1123.3,667.0
270,Забайкальский край,2006,79.0,81066.2,101.2,64.6,358.0,102.5,15.6,1115.1,631.0
271,Забайкальский край,2007,85.0,99544.9,101.8,64.9,282.0,103.7,14.5,1111.4,917.0
272,Забайкальский край,2008,97.0,126362.1,105.3,65.1,263.0,100.4,14.4,1109.2,903.0
273,Забайкальский край,2009,98.0,133973.5,105.1,65.5,264.0,97.0,13.8,1109.0,857.0
274,Забайкальский край,2010,78.0,150548.9,101.5,66.0,234.0,114.9,13.8,1106.2,820.0
275,Забайкальский край,2011,95.0,185196.6,104.2,66.4,252.0,111.4,13.3,1095.5,878.0
